Stream_Name,Treatment,Catchment_Size,Peatland_Area,Peatland_Drain,Fine_Sediment,LWD_Volume,Moss_Cover,Rh,Water_Temp,Stream_Width,Canopy_Cover,Color,pH ,Total_Phos,Average_Rip_Tree_Size,Average_Rip_Tree_Height,Volume_Dead_Rip_Wood
Isoväisäsenoja,Ref,1.34,26.9282815,5.8,15.33333333,0.012162302,54,1.011224581,7.719006381,1.52,40,80,6.31,23,NA,NA,NA
Kumpulammenoja,Ref,5.58,38.5474204,5.6,10,0.018890525,74,1.272984441,7.79574318,2.75,34.75,90,6.58,24,24.4,17.6,0.012674568
Lehtorinnanoja,Ref,4.02,48.3478973,12.8,17.66666667,0.009008513,58.66666667,0.273854762,7.75106032,2.51,30.25,110,6.78,24,32.9,17.75,0.005877073
Majovanoja,Ref,5.25,38.3698821,12.7,10.33333333,0.017762428,55.5,1.468216438,6.824514991,2.32,47.75,60,6.83,16,21.5,17.67,0.003331577
Myllyoja,Ref,3.2,16.5740563,7.5,17.33333333,0.013998374,56.33333333,0.726218447,5.789180871,2.684,34.5,20,6.52,11,19.3,12.71,0.001025655
Portinoja,Ref,4.01,21.4760746,0.8,32,0.020215072,42.66666667,1.704986916,5.614334862,1.15,36,30,6.24,12,22.8,15.6,0.003987755
Pulkkaoja,Ref,5.88,34.8424525,11.9,22,0.001133672,77.33333333,0.997434764,6.592759683,2.05,40.5,45,6.77,9,NA,NA,NA
Tunturioja,Ref,2.4,27.4353877,0,32.66666667,0.017870434,84,0.135900465,7.615321058,2.062,55.35,70,6.39,8,24.1,18.65,0.006520012
Heteoja,Ref,2.25,21.4184397,0.6,26.66666667,0.015864196,33,0.633745321,6.153205765,0.98,32,40,7.11,18,20,10.61,0.002825915
Hurunoja,Imp,2.34,21.2170517,19.8,33,0.000316558,8,0.237431161,6.09672619,1.76,50.5,30,7.3,28,NA,NA,NA
Juuttaanoja,Imp,4.75,15.4298751,9.2,52,0.004666515,32.16666667,0.634313571,7.638947368,1.86,48.5,30,7.14,8,13.6,11.71,0.000863805
Jänisoja,Imp,8.06,31.9343066,16.7,90.66666667,0.002476642,1.333333333,0.342857143,6.104047619,1.88,22.75,25,7.28,6,13.6,16.64,0.000921121
Kuukkelinoja,Imp,3.03,20.580421,20.3,69.33333333,0.005646114,34,0.496,6.66,1.52,37,140,6.9,9,16.4,12.57,0.00529126
Lomaoja,Imp,2.98,23.1386025,19.5,46,0.00183696,14.66666667,0.414872621,6.177142857,1.38,16.75,20,7.21,8,15.3,13.51,0.001646495
Loukonoja,Imp,9.84,44.1583214,20.6,61.53846154,0.001436299,3.269230769,0.423529412,8.349206349,2.02,40.5,60,7.26,16,NA,NA,NA
Mämmioja,Imp,3.65,64.181439,43.9,42.33333333,0.006636516,2,1.187991713,7.762425447,1.8,24.75,140,7,9,18.4,20.69,0.0044822
Purnuoja,Imp,4.98,25.3313422,19.8,52,0.007605123,20.33333333,0.295286667,4.732667585,2.44,44.5,15,6.95,12,NA,NA,NA
Sorsaoja,Imp,4.91,30.9041164,21.5,59.33333333,0.00262367,2.833333333,0.387144,5.144143002,1.97,56.25,30,6.72,14,10.5,11.18,0.000402223
Virvikonoja,Imp,2.97,24.292198,22.2,34.33333333,0.006343287,9.833333333,0.505928868,6.422358834,1.66,24,90,6.71,21,20.6,9.13,7.57E-05
Alahaapuanoja,Res-b,6.81,35.2071278,64.5,23,0.003725766,26.33333333,0.490631368,8.120936902,2.68,52.5,90,6.9,19,16,13.32,0.000242157
Hoikanoja,Res-b,3.51,21.5670436,17.3,22.66666667,0.001997016,38,0.820512821,7.562624254,1.6,44.5,140,7.4,15,10.8,8.54,0.000259585
Mätässuonoja,Res-b,1.8,52.0389751,48.1,20.33333333,0.00259629,24.83333333,0.917030568,6.400190114,1.22,49.5,80,7.03,15,12.9,10.32,0.000113251
Ohtalammenoja,Res-b,3.81,15.4660394,3.4,12,0.005769068,40.16666667,0.271698429,10.61951645,1.98,27.25,55,6.56,13,NA,NA,NA
Vantunlammenoja,Res-b,2.46,28.8148148,20.1,35.33333333,0.00728652,35.66666667,0.472773184,6.881413141,1.78,35.75,35,6.28,8,15.33333333,10.91,0.000505861
Harjunalasenoja,Res-w,4.52,25.0324675,13.7,52.66666667,0.012140831,21.33333333,0.364520049,8.357110912,2.02,32.25,45,6.15,9,10.7,NA,0.00013004
Kylmäoja,Res-w,3.7,28.9109556,21.6,100,0.008897569,11.66666667,0.626519964,6.37202381,1.42,55,25,6.92,10,NA,NA,NA
Nokipuro,Res-w,1.21,22.4572004,16.7,50.33333333,0.011002793,2.166666667,1.730769231,7.027066929,1.04,51.75,70,6.86,13,10.6,10.31,0.000425494
Nällinsuonoja,Res-w,2.27,22.1553754,21.6,49.66666667,0.008875882,34.66666667,0.881491883,5.988118812,1.78,55.25,25,6.85,12,14.4,10.54,0.000362623
